table_name,column_name,data_type,nullable,description,notes,additional_info
silver.incident_flattened,sys_id,STRING,false,ServiceNow unique record identifier,Primary key,
silver.incident_flattened,number,STRING,true,Incident number (e.g. INC0010001),Human-readable identifier,
silver.incident_flattened,short_description,STRING,true,Brief incident summary,Trimmed and cleaned,
silver.incident_flattened,description,STRING,true,Full incident description,Trimmed and cleaned,
silver.incident_flattened,state,INT,true,Incident state code,Canonical mapping,
silver.incident_flattened,state_name,STRING,true,Incident state name,Derived from state code,1=New 2=InProgress 3=OnHold 6=Resolved 7=Closed
silver.incident_flattened,incident_state,INT,true,Detailed incident state,Numeric code,
silver.incident_flattened,priority,INT,true,Priority level,1=Critical to 5=Planning,
silver.incident_flattened,priority_name,STRING,true,Priority name,Derived from priority code,1=Critical 2=High 3=Moderate 4=Low 5=Planning
silver.incident_flattened,urgency,INT,true,Urgency level,1-3 scale,
silver.incident_flattened,urgency_name,STRING,true,Urgency name,Derived,1=High 2=Medium 3=Low
silver.incident_flattened,impact,INT,true,Business impact level,1-3 scale,
silver.incident_flattened,impact_name,STRING,true,Impact name,Derived,1=High 2=Medium 3=Low
silver.incident_flattened,severity,INT,true,Severity classification,Numeric code,
silver.incident_flattened,category,STRING,true,Incident category,Uppercase normalized,
silver.incident_flattened,subcategory,STRING,true,Incident subcategory,Uppercase normalized,
silver.incident_flattened,opened_at,TIMESTAMP,true,When incident was opened,Parsed datetime,
silver.incident_flattened,opened_date,DATE,true,Date incident was opened,Derived for joins,
silver.incident_flattened,opened_by_id,STRING,true,User sys_id who opened,Extracted from struct.value,
silver.incident_flattened,caller_id_id,STRING,true,User sys_id who reported,Extracted from struct.value,
silver.incident_flattened,assigned_to_id,STRING,true,Assigned technician sys_id,Extracted from struct.value,
silver.incident_flattened,assignment_group_id,STRING,true,Assigned group sys_id,Extracted from struct.value,
silver.incident_flattened,resolved_at,TIMESTAMP,true,When incident was resolved,Nullable if still open,
silver.incident_flattened,resolved_date,DATE,true,Date incident was resolved,Derived for joins,
silver.incident_flattened,resolved_by_id,STRING,true,User sys_id who resolved,Extracted from struct.value,
silver.incident_flattened,closed_at,TIMESTAMP,true,When incident was closed,Nullable if still open,
silver.incident_flattened,closed_date,DATE,true,Date incident was closed,Derived for joins,
silver.incident_flattened,closed_by_id,STRING,true,User sys_id who closed,Extracted from struct.value,
silver.incident_flattened,close_code,STRING,true,Resolution close code,Normalized uppercase,
silver.incident_flattened,close_notes,STRING,true,Resolution notes,Cleaned text,
silver.incident_flattened,sys_created_on,TIMESTAMP,true,ServiceNow record creation time,System timestamp,
silver.incident_flattened,sys_created_by,STRING,true,User who created record,System field,
silver.incident_flattened,sys_updated_on,TIMESTAMP,true,Last ServiceNow update time,Watermark for incremental,
silver.incident_flattened,sys_updated_by,STRING,true,User who last updated record,System field,
silver.incident_flattened,sys_mod_count,INT,true,Modification counter,Update tracking,
silver.incident_flattened,active,BOOLEAN,true,Is incident active,Quick filter flag,
silver.incident_flattened,is_resolved,BOOLEAN,true,Has been resolved,Derived: state IN (6),
silver.incident_flattened,is_closed,BOOLEAN,true,Has been closed,Derived: state = 7,
silver.incident_flattened,made_sla,BOOLEAN,true,Was SLA met,SLA tracking,
silver.incident_flattened,parent_id,STRING,true,Parent incident sys_id,Extracted from struct.value,
silver.incident_flattened,parent_incident_id,STRING,true,Major incident parent sys_id,Extracted from struct.value,
silver.incident_flattened,child_incidents,INT,true,Count of child incidents,Passed through,
silver.incident_flattened,caused_by_id,STRING,true,Related change/problem sys_id,Extracted from struct.value,
silver.incident_flattened,problem_id_id,STRING,true,Linked problem sys_id,Extracted from struct.value,
silver.incident_flattened,rfc_id,STRING,true,Related change request sys_id,Extracted from struct.value,
silver.incident_flattened,cmdb_ci_id,STRING,true,Configuration item sys_id,Extracted from struct.value,
silver.incident_flattened,business_service_id,STRING,true,Business service sys_id,Extracted from struct.value,
silver.incident_flattened,service_offering_id,STRING,true,Service offering sys_id,Extracted from struct.value,
silver.incident_flattened,company_id,STRING,true,Company sys_id,Extracted from struct.value,
silver.incident_flattened,location_id,STRING,true,Location sys_id,Extracted from struct.value,
silver.incident_flattened,contact_type,STRING,true,How incident was reported,Normalized uppercase,
silver.incident_flattened,escalation,INT,true,Escalation level,Passed through,
silver.incident_flattened,reassignment_count,INT,true,Number of reassignments,Efficiency metric,
silver.incident_flattened,reopen_count,INT,true,Number of reopens,Quality metric,
silver.incident_flattened,calendar_duration_seconds,INT,true,Total calendar time in seconds,Converted from calendar_stc,
silver.incident_flattened,business_duration_seconds,INT,true,Business hours in seconds,Converted from business_stc,
silver.incident_flattened,time_to_resolve_hours,DECIMAL(10|2),true,Hours from open to resolve,Derived: (resolved_at - opened_at),
