source_table,target_table,transformation_name,description,expression_sql,notes
bronze.incident,silver.incident_flattened,extract_opened_by_id,Extract sys_id from opened_by struct,opened_by.value AS opened_by_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_caller_id,Extract sys_id from caller_id struct,caller_id.value AS caller_id_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_assigned_to_id,Extract sys_id from assigned_to struct,assigned_to.value AS assigned_to_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_assignment_group_id,Extract sys_id from assignment_group struct,assignment_group.value AS assignment_group_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_resolved_by_id,Extract sys_id from resolved_by struct,resolved_by.value AS resolved_by_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_closed_by_id,Extract sys_id from closed_by struct,closed_by.value AS closed_by_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_parent_id,Extract sys_id from parent struct,parent.value AS parent_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_parent_incident_id,Extract sys_id from parent_incident struct,parent_incident.value AS parent_incident_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_caused_by_id,Extract sys_id from caused_by struct,caused_by.value AS caused_by_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_problem_id,Extract sys_id from problem_id struct,problem_id.value AS problem_id_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_rfc_id,Extract sys_id from rfc struct,rfc.value AS rfc_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_cmdb_ci_id,Extract sys_id from cmdb_ci struct,cmdb_ci.value AS cmdb_ci_id,Configuration item reference
bronze.incident,silver.incident_flattened,extract_business_service_id,Extract sys_id from business_service struct,business_service.value AS business_service_id,Service reference
bronze.incident,silver.incident_flattened,extract_service_offering_id,Extract sys_id from service_offering struct,service_offering.value AS service_offering_id,Service offering reference
bronze.incident,silver.incident_flattened,extract_company_id,Extract sys_id from company struct,company.value AS company_id,Company reference
bronze.incident,silver.incident_flattened,extract_location_id,Extract sys_id from location struct,location.value AS location_id,Location reference
bronze.incident,silver.incident_flattened,extract_reopened_by_id,Extract sys_id from reopened_by struct,reopened_by.value AS reopened_by_id,Null-safe struct access
bronze.incident,silver.incident_flattened,extract_contract_id,Extract sys_id from contract struct,contract.value AS contract_id,Contract reference
bronze.incident,silver.incident_flattened,derive_state_name,Map state code to human-readable name,"CASE state WHEN 1 THEN 'New' WHEN 2 THEN 'In Progress' WHEN 3 THEN 'On Hold' WHEN 6 THEN 'Resolved' WHEN 7 THEN 'Closed' WHEN 8 THEN 'Canceled' ELSE 'Unknown' END AS state_name",ServiceNow standard states
bronze.incident,silver.incident_flattened,derive_priority_name,Map priority code to name,"CASE priority WHEN 1 THEN 'Critical' WHEN 2 THEN 'High' WHEN 3 THEN 'Moderate' WHEN 4 THEN 'Low' WHEN 5 THEN 'Planning' ELSE 'Unknown' END AS priority_name",Priority mapping
bronze.incident,silver.incident_flattened,derive_urgency_name,Map urgency code to name,"CASE urgency WHEN 1 THEN 'High' WHEN 2 THEN 'Medium' WHEN 3 THEN 'Low' ELSE 'Unknown' END AS urgency_name",Urgency mapping
bronze.incident,silver.incident_flattened,derive_impact_name,Map impact code to name,"CASE impact WHEN 1 THEN 'High' WHEN 2 THEN 'Medium' WHEN 3 THEN 'Low' ELSE 'Unknown' END AS impact_name",Impact mapping
